0;13;26;39;52;65;67;80;93;106;119;
0;13;27;41;45;62;76;80;94;103;119;
0;13;28;41;47;56;75;82;98;103;117;
0;13;28;42;45;63;71;80;98;106;114;
0;13;28;42;51;65;67;80;93;107;114;
0;13;28;43;47;62;75;81;89;104;118;
0;13;29;38;52;56;70;87;91;105;119;
0;13;29;42;47;63;76;81;94;100;115;
0;13;29;43;50;56;75;82;91;107;114;
0;13;31;39;52;65;67;80;93;106;114;
0;13;31;40;47;65;74;82;89;103;116;
0;14;27;41;45;64;70;79;95;109;116;
0;14;27;42;46;65;73;81;89;107;116;
0;14;28;41;54;56;75;82;90;103;117;
0;14;28;42;45;59;73;87;90;104;118;
0;14;28;43;51;57;70;85;89;104;119;
0;14;30;35;51;56;76;82;97;105;114;
0;14;30;39;46;64;71;78;92;109;117;
0;14;30;39;53;56;76;82;95;101;114;
0;14;31;39;54;57;73;78;92;107;115;
0;15;23;40;53;57;74;82;91;109;116;
0;15;23;40;54;61;68;86;93;102;118;
0;15;28;41;54;57;73;86;89;102;115;
0;15;28;42;47;65;74;79;93;106;111;
0;15;29;34;50;57;76;85;91;104;119;
0;15;29;42;50;57;76;78;91;104;118;
0;15;30;34;49;64;68;83;98;102;117;
0;15;30;38;53;56;76;79;94;102;117;
0;16;23;37;53;62;68;87;91;105;118;
0;16;23;41;50;58;75;79;92;109;117;
0;16;23;41;54;62;70;79;97;105;113;
0;16;25;34;54;62;75;81;90;107;116;
0;16;25;42;51;57;70;78;98;107;116;
0;16;25;43;51;59;67;86;90;105;118;
0;16;29;35;54;63;67;81;97;102;116;
0;16;29;42;45;58;74;87;90;103;116;
0;16;29;42;47;63;70;78;98;101;116;
0;16;29;43;50;58;67;85;92;101;119;
0;16;30;34;53;62;68;87;91;105;114;
0;16;30;35;51;65;69;78;97;103;116;
0;16;30;39;53;58;67;81;95;109;112;
0;16;31;34;54;62;69;85;90;103;116;
0;16;32;37;53;58;74;79;95;100;116;
0;17;23;40;46;63;69;86;92;109;115;
0;17;23;40;54;63;68;81;97;102;115;
0;17;23;40;54;63;69;86;92;101;115;
0;17;25;40;54;59;75;78;93;101;118;
0;17;25;42;51;56;76;79;93;107;114;
0;17;26;35;54;63;69;78;97;106;115;
0;17;26;40;54;58;75;79;93;107;111;
0;17;26;40;54;63;69;78;97;101;115;
0;17;30;35;49;56;75;81;98;106;113;
0;17;30;35;51;64;69;78;92;109;115;
0;17;30;38;46;64;69;87;95;103;111;
0;17;30;43;46;59;75;78;91;104;117;
0;17;31;35;54;63;69;78;92;106;115;
0;17;31;38;52;56;70;79;95;109;113;
0;17;31;40;46;63;69;78;92;109;115;
0;17;32;38;51;56;69;85;90;103;119;
0;18;25;39;46;65;67;86;93;107;114;
